task,protocol,model,metric,bootstrap_mean,ci_lower,ci_upper,valid_samples
classification,random,Dummy,macro_f1,0.05930941887212542,0.05577172503242542,0.06273708783192296,1000
classification,random,Dummy,balanced_accuracy,0.16666666666666663,0.16666666666666666,0.16666666666666666,1000
classification,random,Dummy,mcc,0.0,0.0,0.0,1000
classification,random,RandomForest,macro_f1,0.9953197736543743,0.9924957289337858,0.9977840893253178,1000
classification,random,RandomForest,balanced_accuracy,0.9946700325838226,0.9914566537559625,0.9974976307737458,1000
classification,random,RandomForest,mcc,0.994324167929557,0.9908795878551319,0.9973812273589199,1000
classification,random,XGBoost,macro_f1,0.9957992443373787,0.993173775338656,0.998020566718042,1000
classification,random,XGBoost,balanced_accuracy,0.995330775720131,0.9924462696397452,0.9978098981694127,1000
classification,random,XGBoost,mcc,0.9947640519290527,0.9917112075060378,0.9973866019761215,1000
classification,random,SVM,macro_f1,0.9938304239111198,0.9907362205059275,0.9966425674265088,1000
classification,random,SVM,balanced_accuracy,0.9934252188263862,0.9902212691975891,0.9964833771842218,1000
classification,random,SVM,mcc,0.9926099117058272,0.9886802209223706,0.995649881022889,1000
classification,random,MLP,macro_f1,0.9937836907385332,0.9906082971680146,0.996578474932797,1000
classification,random,MLP,balanced_accuracy,0.9931798812017703,0.9895375818780868,0.9961741310489121,1000
classification,random,MLP,mcc,0.9929743896683103,0.9895231520857081,0.9960774836009945,1000
regression,random,Dummy,mae,108.13292415528397,102.77180535585909,113.76378504672897,1000
regression,random,Dummy,rmse,189.79636643571902,178.00709454802976,202.26437515821863,1000
regression,random,Dummy,r2,-0.11373684733644222,-0.12927879239044873,-0.09807728991434342,1000
regression,random,RandomForest,mae,8.480983352803738,7.406697744428469,9.681150386412652,1000
regression,random,RandomForest,rmse,29.924451461455476,20.67591294867671,41.25353488530837,1000
regression,random,RandomForest,r2,0.9713888094598176,0.9463634617669399,0.9864470548260146,1000
regression,random,XGBoost,mae,10.340101350850164,9.268588671340767,11.554823520088648,1000
regression,random,XGBoost,rmse,31.721978898268485,22.697255705788805,42.750063396170496,1000
regression,random,XGBoost,r2,0.9679985356249469,0.9430415901946534,0.9841160422591828,1000
regression,random,SVR,mae,12.798096458268057,11.549388470553017,14.1095606081312,1000
regression,random,SVR,rmse,35.85677371678064,27.693690493004887,45.91551513963153,1000
regression,random,SVR,r2,0.9595534300664529,0.9361033414336116,0.9761334755777691,1000
regression,random,MLP,mae,11.089539904259015,10.05787211836917,12.210455776579758,1000
regression,random,MLP,rmse,31.292744293092852,23.237271104116658,40.503494052743214,1000
regression,random,MLP,r2,0.9691125140353595,0.9491854312442461,0.9831102712839961,1000
classification,temporal,Dummy,macro_f1,0.05248418061730773,0.05068756875687569,0.05434753101501208,1000
classification,temporal,Dummy,balanced_accuracy,0.16666666666666663,0.16666666666666666,0.16666666666666666,1000
classification,temporal,Dummy,mcc,0.0,0.0,0.0,1000
classification,temporal,RandomForest,macro_f1,0.49116040918932186,0.48337530053823646,0.4987948661407749,1000
classification,temporal,RandomForest,balanced_accuracy,0.5299297735603216,0.5213391138287282,0.5383197246026813,1000
classification,temporal,RandomForest,mcc,0.46464906937964806,0.4537380752689449,0.4752871645860825,1000
classification,temporal,XGBoost,macro_f1,0.47391368506560994,0.4658784757634719,0.48165798287281425,1000
classification,temporal,XGBoost,balanced_accuracy,0.4980398329100765,0.48955777817077734,0.5066856658114836,1000
classification,temporal,XGBoost,mcc,0.42074376506318756,0.4088273067502538,0.43214293795841896,1000
classification,temporal,SVM,macro_f1,0.49923154556788174,0.49222231265965977,0.506517215388244,1000
classification,temporal,SVM,balanced_accuracy,0.5485849338942252,0.5420750864103709,0.555307739138558,1000
classification,temporal,SVM,mcc,0.49625383162715603,0.48640642308814513,0.5061759486492886,1000
classification,temporal,MLP,macro_f1,0.5712366105877996,0.5646171752846658,0.5777405533956115,1000
classification,temporal,MLP,balanced_accuracy,0.6164707019188007,0.6097887221260673,0.6225740093149535,1000
classification,temporal,MLP,mcc,0.5800940127338704,0.5698400933985238,0.5899996956250714,1000
regression,temporal,Dummy,mae,116.96153537024423,114.22014693003796,119.83418799260484,1000
regression,temporal,Dummy,rmse,186.81996066656208,180.67948351244732,192.9013363139191,1000
regression,temporal,Dummy,r2,-0.0002461137173850667,-0.00102599972618857,-5.922205007613536e-07,1000
regression,temporal,RandomForest,mae,63.94844270325791,61.66677794937223,66.13731936255095,1000
regression,temporal,RandomForest,rmse,132.4582762312918,126.73805953984817,137.80652213788457,1000
regression,temporal,RandomForest,r2,0.4970976235666394,0.47118987516595634,0.5224838240316093,1000
regression,temporal,XGBoost,mae,64.24011308169311,62.3284410622283,66.23924319812085,1000
regression,temporal,XGBoost,rmse,118.5415218442209,113.69571322328599,123.13113909665292,1000
regression,temporal,XGBoost,r2,0.5972593065328848,0.5826372186832672,0.6124976729883097,1000
regression,temporal,SVR,mae,55.839900251287965,53.8903920215328,57.75434517799595,1000
regression,temporal,SVR,rmse,113.52341986173244,108.58075981637954,118.60844638715294,1000
regression,temporal,SVR,r2,0.6306242501324933,0.6129338169952472,0.6497120779198852,1000
regression,temporal,MLP,mae,81.99382264538508,79.91211858758588,84.15657720519778,1000
regression,temporal,MLP,rmse,133.96139299673226,129.23322644955232,138.82804911724457,1000
regression,temporal,MLP,r2,0.4856624125235016,0.46997878606559435,0.50086854268572,1000
